"","playerID","yearID","stint","teamID","lgID","POS","G","GS","InnOuts","PO","A","E","DP","PB","WP","SB","CS","ZR"
"486","oneilmi01",1901,1,"SLN","NL","P",5,0,0,1,6,1,0,0,0,0,0,0
"487","orthal01",1901,1,"PHI","NL","OF",4,0,0,4,0,0,0,0,0,0,0,0
"488","orthal01",1901,1,"PHI","NL","P",35,0,0,21,83,6,2,0,0,0,0,0
"489","owenfr01",1901,1,"DET","AL","OF",1,0,0,0,0,1,0,0,0,0,0,0
"490","owenfr01",1901,1,"DET","AL","P",8,0,0,7,24,1,2,0,0,0,0,0
"491","paddedi01",1901,1,"SLN","NL","2B",115,0,0,286,336,33,47,0,0,0,0,0
"492","paddedi01",1901,1,"SLN","NL","SS",8,0,0,15,24,7,2,0,0,0,0,0
"493","parenfr01",1901,1,"BOS","AL","SS",138,0,0,260,446,63,52,0,0,0,0,0
"494","parkedo01",1901,1,"CIN","NL","P",1,0,0,1,1,0,1,0,0,0,0,0
"495","patteca01",1901,1,"WS1","AL","P",32,0,0,21,60,4,2,0,0,0,0,0
"496","pattero01",1901,1,"CHA","AL","P",41,0,0,9,88,6,2,0,0,0,0,0
"497","peitzhe01",1901,1,"CIN","NL","1B",2,0,0,9,1,0,0,0,0,0,0,0
"498","peitzhe01",1901,1,"CIN","NL","2B",21,0,0,45,54,2,8,0,0,0,0,0
"499","peitzhe01",1901,1,"CIN","NL","3B",6,0,0,7,12,1,2,0,0,0,0,0
"500","peitzhe01",1901,1,"CIN","NL","C",49,0,0,260,60,6,4,4,0,0,0,0
"501","phillbi02",1901,1,"CIN","NL","OF",1,0,0,1,0,2,0,0,0,0,0,0
"502","phillbi02",1901,1,"CIN","NL","P",37,0,0,11,100,8,3,0,0,0,0,0
"503","phillde01",1901,1,"PIT","NL","P",37,0,0,15,89,6,2,0,0,0,0,0
"504","phylebi01",1901,1,"NY1","NL","P",24,0,0,17,48,7,0,0,0,0,0,0
"505","phylebi01",1901,1,"NY1","NL","SS",1,0,0,0,0,0,0,0,0,0,0,0
"506","piattwi01",1901,1,"PHA","AL","P",18,0,0,3,22,2,0,0,0,0,0,0
"507","piattwi01",1901,2,"CHA","AL","P",7,0,0,0,9,2,0,0,0,0,0,0
"508","pickeol01",1901,1,"CLE","AL","OF",137,0,0,315,22,18,9,0,0,0,0,0
"509","pittito01",1901,1,"BSN","NL","P",34,0,0,8,86,4,4,0,0,0,0,0
