"Name","Team","URL","PitchType","Speed"
"Alexi Ogando","Red Sox","https://www.baseballprospectus.com/card/card.php?id=49910","Two.seam.FB",94.2
"Jonathan Broxton","Cardinals","https://www.baseballprospectus.com/card/card.php?id=33197","Two.seam.FB",93.5
"Scott Oberg","Rockies","https://www.baseballprospectus.com/card/card.php?id=101264","Two.seam.FB",94.5
"Shelby Miller","Braves","https://www.baseballprospectus.com/card/card.php?id=60626","Two.seam.FB",94
"Andrew Miller","Yankees","https://www.baseballprospectus.com/card/card.php?id=49617","Two.seam.FB",94.5
"Taijuan Walker","Mariners","https://www.baseballprospectus.com/card/card.php?id=67148","Two.seam.FB",94.8
"Jeff Samardzija","White Sox","https://www.baseballprospectus.com/card/card.php?id=50175","Two.seam.FB",94.1
"Liam Hendriks","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=56426","Two.seam.FB",94.2
"Wily Peralta","Brewers","https://www.baseballprospectus.com/card/card.php?id=50538","Two.seam.FB",94.5
"Michael Lorenzen","Reds","https://www.baseballprospectus.com/card/card.php?id=68444","Two.seam.FB",94.3
"Lance McCullers","Astros","https://www.baseballprospectus.com/card/card.php?id=100521","Two.seam.FB",93
"Rubby de la Rosa","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57608","Two.seam.FB",93.5
"Sam Dyson","Rangers","https://www.baseballprospectus.com/card/card.php?id=68372","Two.seam.FB",95.2
"James Paxton","Mariners","https://www.baseballprospectus.com/card/card.php?id=68467","Two.seam.FB",94.8
"Dellin Betances","Yankees","https://www.baseballprospectus.com/card/card.php?id=49775","Cutter",96.2
"Tommy Hunter","Cubs","https://www.baseballprospectus.com/card/card.php?id=57403","Cutter",91.7
"Jumbo Diaz","Reds","https://www.baseballprospectus.com/card/card.php?id=34744","Cutter",92.7
"Hector Rondon","Cubs","https://www.baseballprospectus.com/card/card.php?id=52251","Cutter",88.3
"Bo Schultz","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=58646","Cutter",91.7
"Garrett Richards","Angels","https://www.baseballprospectus.com/card/card.php?id=60655","Cutter",94.9
"Wade Davis","Royals","https://www.baseballprospectus.com/card/card.php?id=47360","Cutter",92.6
"Roberto Osuna","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=68997","Cutter",89.8
"Jason Motte","Cubs","https://www.baseballprospectus.com/card/card.php?id=48314","Cutter",89.5
"Justin Wilson","Yankees","https://www.baseballprospectus.com/card/card.php?id=59179","Cutter",90.6
"Bryan Morris","Marlins","https://www.baseballprospectus.com/card/card.php?id=51993","Cutter",89.5
"Yordano Ventura","Royals","https://www.baseballprospectus.com/card/card.php?id=66326","Cutter",92
"Andrew Cashner","Padres","https://www.baseballprospectus.com/card/card.php?id=58136","Cutter",88.5
"Kevin Jepsen","Twins","https://www.baseballprospectus.com/card/card.php?id=45544","Cutter",94.3
"Zach McAllister","Indians","https://www.baseballprospectus.com/card/card.php?id=50118","Cutter",89.3
"Alexi Ogando","Red Sox","https://www.baseballprospectus.com/card/card.php?id=49910","Cutter",91.3
"Shelby Miller","Braves","https://www.baseballprospectus.com/card/card.php?id=60626","Cutter",86.5
"Taijuan Walker","Mariners","https://www.baseballprospectus.com/card/card.php?id=67148","Cutter",89.5
"Jeff Samardzija","White Sox","https://www.baseballprospectus.com/card/card.php?id=50175","Cutter",92
"Michael Lorenzen","Reds","https://www.baseballprospectus.com/card/card.php?id=68444","Cutter",87.6
"Lance McCullers","Astros","https://www.baseballprospectus.com/card/card.php?id=100521","Cutter",91.5
"Jarred Cosart","Marlins","https://www.baseballprospectus.com/card/card.php?id=59986","Cutter",93.2
"James Paxton","Mariners","https://www.baseballprospectus.com/card/card.php?id=68467","Cutter",88.5
"Arquimedes Caminero","Pirates","https://www.baseballprospectus.com/card/card.php?id=51195","Splitter",89.4
"Nathan Eovaldi","Yankees","https://www.baseballprospectus.com/card/card.php?id=57820","Splitter",87.4
