"","yearID","teamID","name","AB","H","2B","3B","HR","R","SB","BA","OBP","OPS","SLG","wOBA"
"315",2011,"ARI","Arizona Diamondbacks",5421,1357,293,37,172,731,133,0.2503,0.3224,0.7356,0.4132,0.32488570956004
"316",2011,"ATL","Atlanta Braves",5528,1345,244,16,173,641,77,0.2433,0.3082,0.6953,0.3871,0.308426600985222
"317",2011,"CHN","Chicago Cubs",5549,1423,285,36,148,654,69,0.2564,0.3143,0.7151,0.4008,0.315675346077785
"318",2011,"CIN","Cincinnati Reds",5612,1438,264,19,183,735,97,0.2562,0.3258,0.7336,0.4079,0.3247576
"319",2011,"COL","Colorado Rockies",5544,1429,274,40,163,735,118,0.2578,0.3292,0.739,0.4098,0.326817741935484
"320",2011,"FLO","Florida Marlins",5508,1358,274,30,149,625,95,0.2466,0.3176,0.7059,0.3883,0.313486570079766
"321",2011,"HOU","Houston Astros",5598,1442,309,28,95,615,118,0.2576,0.3106,0.6843,0.3737,0.303567576455113
"322",2011,"LAN","Los Angeles Dodgers",5436,1395,237,28,117,644,126,0.2566,0.3218,0.6969,0.3751,0.310530056459648
"323",2011,"MIL","Milwaukee Brewers",5447,1422,276,31,185,721,94,0.2611,0.325,0.75,0.425,0.32988404114134
"324",2011,"NYN","New York Mets",5600,1477,309,39,108,718,130,0.2638,0.3348,0.7255,0.3907,0.322573684210526
"325",2011,"PHI","Philadelphia Phillies",5579,1409,258,38,153,713,96,0.2526,0.3226,0.7173,0.3947,0.318280424983902
"326",2011,"PIT","Pittsburgh Pirates",5421,1325,277,35,107,610,108,0.2444,0.3086,0.6763,0.3676,0.30089629258517
"327",2011,"SDN","San Diego Padres",5417,1284,247,42,91,593,170,0.237,0.3048,0.6534,0.3485,0.292413104939298
"328",2011,"SFN","San Francisco Giants",5486,1327,282,24,121,570,85,0.2419,0.303,0.6712,0.3682,0.298370210648532
"329",2011,"SLN","St. Louis Cardinals",5532,1513,308,22,162,762,57,0.2735,0.3409,0.7658,0.425,0.337985709645989
"330",2011,"WAS","Washington Nationals",5441,1319,257,22,154,624,106,0.2424,0.3086,0.6912,0.3827,0.307088215712383
"331",2012,"BAL","Baltimore Orioles",5560,1375,270,16,214,712,58,0.2473,0.3113,0.7284,0.4171,0.318066993464052
"332",2012,"BOS","Boston Red Sox",5604,1459,339,16,165,734,97,0.2603,0.3151,0.73,0.4149,0.317921559034573
"333",2012,"CHA","Chicago White Sox",5518,1409,228,29,211,748,109,0.2553,0.3183,0.7401,0.4219,0.323084868421053
"334",2012,"CLE","Cleveland Indians",5525,1385,266,24,136,667,110,0.2507,0.3236,0.7049,0.3814,0.311806571706054
"335",2012,"DET","Detroit Tigers",5476,1467,279,39,163,726,59,0.2679,0.3345,0.7569,0.4224,0.331113430872924
"336",2012,"KCA","Kansas City Royals",5636,1492,295,37,131,676,132,0.2647,0.3165,0.7164,0.3999,0.313323207577985
